run,script,symbol,start_date,end_date,granularity,trend_filter_window,sl_atr,tsl_atr,wfo_test_days,wfo_window_years,oos_mean_sharpe,oos_mean_return,oos_mean_drawdown,oos_std_sharpe,oos_std_return,oos_std_drawdown,error
138,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,2.5,2.5,180,2.0,,,,,,,Report file not found
139,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,2.5,3.0,180,2.0,,,,,,,Report file not found
140,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,2.5,3.5,180,2.0,,,,,,,Report file not found
143,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,3.0,3.0,180,2.0,,,,,,,Report file not found
144,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,3.0,3.5,180,2.0,,,,,,,Report file not found
145,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,1.5,2.0,180,2.0,-0.465786334737508,-0.01643027466452898,0.08540872707027054,1.7769957586418907,0.08224455744362598,0.02499256632584723,
146,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,1.5,2.5,180,2.0,-0.49290328188852334,-0.017588602702683316,0.08634186693078626,1.791165354747859,0.08236072337317468,0.024865132714067203,
147,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,1.5,3.0,180,2.0,-0.4648647135532435,-0.01713245548453186,0.08579159867934393,1.74967610283597,0.08164145823514171,0.024910774923244564,
148,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,1.5,3.5,180,2.0,-0.4699290387991613,-0.017433486953652443,0.0860693841622558,1.7543480647283374,0.08184117613095643,0.02487709744264199,
149,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,2.0,2.0,180,2.0,-0.44728077494780016,-0.02072734481793174,0.08965311128082087,1.665078269612994,0.08114262311927889,0.03389494342106129,
150,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,2.0,2.5,180,2.0,-0.4801272442932885,-0.02250125659650645,0.09113890405716878,1.6776088975933623,0.0814045147345313,0.03469135948023689,
151,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,2.0,3.0,180,2.0,-0.45324966512142456,-0.022050626832345505,0.09059493124044805,1.6309720045066067,0.08064654699452815,0.03461981884952685,
152,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,2.0,3.5,180,2.0,-0.4579763165842738,-0.02234828370821688,0.09086953867270979,1.6362408779282394,0.0808700081225437,0.03464848111501238,
154,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,2.5,2.5,180,2.0,-0.3171552588360648,-0.018368748922315974,0.08899410322344768,1.533859103085208,0.07717154019377037,0.034405574325293654,
155,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,2.5,3.0,180,2.0,-0.30694190937600235,-0.018615323017044074,0.08909475090529899,1.49002493223924,0.0762076541171337,0.03427498624845982,
156,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,2.5,3.5,180,2.0,-0.3187127289517145,-0.01919039805983242,0.08962980687446996,1.5009900782216534,0.07646050587267063,0.034287421781707114,
159,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,3.0,3.0,180,2.0,-0.4077434869218803,-0.024942156242811014,0.0928107541540039,1.4491063173319751,0.07538612875849682,0.036423454959727763,
160,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,50,3.0,3.5,180,2.0,-0.43816505516746507,-0.026736155163000225,0.09447721318400785,1.465517995728613,0.07602745459521729,0.037351526568411515,
161,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,1.5,2.0,180,2.0,-0.9071425892177144,-0.04877632257664112,0.09532435002076833,1.538454477085753,0.07138566317740658,0.04292485982903698,
162,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,1.5,2.5,180,2.0,-0.9521728380252282,-0.05139892173411377,0.09635269442059248,1.5465535943647204,0.07198286508074156,0.043553979737053966,
163,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,1.5,3.0,180,2.0,-0.9515701646776813,-0.05157594958463467,0.09635618830012874,1.5374816647991798,0.07179274759558942,0.04356372517088452,
164,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,1.5,3.5,180,2.0,-0.9567607444390914,-0.05187477756705683,0.09663226836514552,1.540913122133836,0.07189254403120053,0.04350806774494755,
165,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,2.0,2.0,180,2.0,-1.0624094081128488,-0.05876871089841864,0.10217632456526866,1.5042545668742897,0.07464344738191002,0.045017458510088884,
166,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,2.0,2.5,180,2.0,-1.1134403356662743,-0.0620550341951059,0.10502745066876919,1.519288023543416,0.07607435552646495,0.04672027834461566,
167,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,2.0,3.0,180,2.0,-1.1126629518223283,-0.06222823788178352,0.10510642045694937,1.5105830932546132,0.0759231917801272,0.04677021771217224,
168,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,2.0,3.5,180,2.0,-1.117628339354223,-0.06252492655346584,0.10538054817164821,1.5138208332485128,0.0759987381961959,0.0467029535851671,
170,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,2.5,2.5,180,2.0,-1.0923830427281396,-0.062178620683099144,0.10844391375460193,1.6901186481790442,0.08881847791166239,0.054853809739181386,
171,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,2.5,3.0,180,2.0,-1.1061503876354635,-0.06321386087681748,0.10905065401697585,1.6805599202824335,0.08904169646953021,0.055516298608524195,
172,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,2.5,3.5,180,2.0,-1.1126068799510678,-0.06358389399833526,0.10939093540756091,1.6811526651874702,0.08901875365078289,0.05539753293031461,
175,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,3.0,3.0,180,2.0,-1.217790868767829,-0.07078343514068026,0.11574897115188006,1.672099484263943,0.09128534917770095,0.05873379441975591,
176,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,100,3.0,3.5,180,2.0,-1.2412856789089557,-0.07230645082564797,0.11720505818883867,1.6763996448868155,0.09188573763694285,0.05925280882757951,
177,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,1.5,2.0,180,2.0,-1.032033575773889,-0.05156994147379679,0.09893275853328147,1.8434978110537368,0.08907314798630504,0.06117971977887164,
178,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,1.5,2.5,180,2.0,-1.1132529151107138,-0.056347170356224684,0.10193273603592472,1.8706979612751775,0.09144865281024223,0.06373771507590177,
179,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,1.5,3.0,180,2.0,-1.133454399821664,-0.05788413937006579,0.10319955580543619,1.8826665129624445,0.09298374925913919,0.06532504444676332,
180,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,1.5,3.5,180,2.0,-1.1462106891160249,-0.05888225992557695,0.10416371551413099,1.8873423723189764,0.0937541474573028,0.06587973120451282,
181,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,2.0,2.0,180,2.0,-1.0197828890177527,-0.05595885195731065,0.10156048560800132,1.5859021892941394,0.07957787523812503,0.05693706201151498,
182,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,2.0,2.5,180,2.0,,,,,,,Subprocess Error Code 2
183,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,2.0,3.0,180,2.0,,,,,,,Subprocess Error Code 2
184,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,2.0,3.5,180,2.0,,,,,,,Subprocess Error Code 2
186,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,2.5,2.5,180,2.0,,,,,,,Subprocess Error Code 2
187,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,2.5,3.0,180,2.0,,,,,,,Subprocess Error Code 2
188,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,2.5,3.5,180,2.0,,,,,,,Subprocess Error Code 2
191,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,3.0,3.0,180,2.0,,,,,,,Subprocess Error Code 2
192,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,200,3.0,3.5,180,2.0,,,,,,,Subprocess Error Code 2
